"ID";"RegioS";"Perioden";"AantalPersonen_1";"GemiddeldBesteedbaarInkomen_2";"RangnummerBesteedbaarInkomen_3";"GemiddeldGestandaardiseerdInkomen_4";"RangnummerGestandaardiseerdInkomen_5";"AantalPersonen_6";"InVanPersonenMetEnZonderInkomen_7";"GemiddeldPersoonlijkInkomen_8";"RangnummerPersoonlijkInkomen_9";"GemiddeldBesteedbaarInkomen_10";"RangnummerBesteedbaarInkomen_11"
"78";"PV21  ";"2006JJ00";"   642.2";"    12.2";"      11";"    20.0";"      11";"   445.3";"      69";"    24.0";"      11";"    17.3";"      11"
"79";"PV21  ";"2007JJ00";"   643.2";"    13.0";"      11";"    21.3";"      11";"   448.8";"      70";"    24.9";"      11";"    18.3";"      11"
"80";"PV21  ";"2008JJ00";"   644.8";"    13.6";"      11";"    22.2";"      11";"   459.2";"      71";"    25.8";"      11";"    18.7";"      10"
"81";"PV21  ";"2009XX00";"   646.3";"    13.5";"      12";"    22.0";"      11";"   461.4";"      71";"    26.2";"      12";"    18.6";"      11"
"82";"PV21  ";"2009JJ00";"   646.3";"    13.4";"      12";"    21.9";"      11";"   460.4";"      71";"    26.1";"      11";"    18.6";"      11"
"83";"PV21  ";"2010JJ00";"   647.3";"    13.5";"      12";"    22.0";"      11";"   462.2";"      71";"    26.3";"      12";"    18.6";"      11"
"84";"PV21  ";"2011JJ00";"   647.2";"    13.6";"      11";"    22.2";"      11";"   465.4";"      72";"    26.8";"      12";"    18.7";"      11"
"85";"PV21  ";"2012JJ00";"   646.9";"    13.8";"      11";"    22.3";"      11";"   464.1";"      72";"    26.9";"      12";"    18.9";"      11"
"86";"PV21  ";"2013JJ00";"   646.3";"       .";"       .";"    22.5";"      11";"   463.6";"      72";"    27.3";"      12";"       .";"       ."
"87";"PV21  ";"2014JJ00";"   646.3";"       .";"       .";"    23.5";"      11";"   463.0";"      72";"    28.0";"      12";"       .";"       ."
"88";"PV22  ";"2005JJ00";"   484.5";"    11.9";"       8";"    19.5";"      10";"   330.2";"      68";"    24.0";"       8";"    16.9";"      10"
"89";"PV22  ";"2006JJ00";"   486.2";"    12.6";"       8";"    20.6";"       9";"   343.4";"      71";"    24.7";"       8";"    17.5";"       8"
"90";"PV22  ";"2007JJ00";"   488.1";"    13.4";"       8";"    22.0";"      10";"   346.6";"      71";"    25.7";"       8";"    18.6";"       8"
"91";"PV22  ";"2008JJ00";"   489.9";"    13.9";"       8";"    22.7";"       8";"   353.3";"      72";"    26.7";"       8";"    19.0";"       8"
